id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5120561652432926,P8CTXacUK,7844998528,十个勤天_麦浪加油站,种地吧超话🌾十个勤天超话2025年1月7日，西藏日喀则市定日县6.8级地震，灾情牵动着全国人民的心。麦浪加油站紧急启动救灾响应，号召十个勤天粉丝为灾区民众重建家园献出一份绵薄之力！让温暖传递，让爱蔓延。公益无大小，量力而行天灾地变，人间仍有希望。愿天佑灾区同胞，一切平安！🔗：O网页链接#直击西藏地震救援#,,,,直击西藏地震救援,77,251,664,2025-01-08 15:14,种地吧超话,,,,广东,普通用户
5120565147337664,P8CZAuMRq,6586444642,宋江·SeasonRiver,#西藏城市服务台#♡#直击西藏地震救援#新岁跃升，但西藏日喀则市定日县措果乡附近却发生6.8级地震，震源深度10千米。截至1月8日10时，地震已造成126人遇难，188人不同程度受伤。抗震救灾工作正紧锣密鼓推进中。值此之际，@宋江·SeasonRiver与@微公益@中华思源工程基金会携手，邀您共同帮助西藏人民渡过难关。循光驰援，联结温暖。🫶即刻扬帆紧急救灾,,,"宋江·SeasonRiver,微公益,中华思源工程基金会","西藏城市服务台,直击西藏地震救援",3,3,113,2025-01-08 15:28,,,,,中国香港,红V
5120571756776827,P8DafsqXF,6387197898,黄仁俊Box_ForRenJun,#西藏城市服务台##直击西藏地震救援##红石驰援西藏地震#@微公益心系西藏，共克时艰。2025年1月7日9时05分，西藏日喀则市定日县发生6.8级地震，灾情严重。我们一起努力，帮助西藏早日迎来春暖花开！我为【红石驰援西藏地震】发起了一起捐，心系西藏，共克时艰！公益无大小，快来和我一起为项目助力！红石驰援西藏地震,,,微公益,"西藏城市服务台,直击西藏地震救援,红石驰援西藏地震",9,3,222,2025-01-08 15:55,,,,,江苏,红V
5120545513539785,P8CtVeQRj,2150758415,孤烟暮蝉,#西藏地震407名被困人员获救#这个世界，只有我们的国家我们的政府靠得住。,,,,西藏地震407名被困人员获救,70,76,2286,2025-01-08 14:10,HUAWEI Mate 70 Pro+,https://wx4.sinaimg.cn/large/8031f80fgy1hxdbmr9i8qj210k1yb4nr.jpg,,,江西,金V
5120547397308974,P8CwXuFoG,1944375784,大象搬砖,#西藏定日县地震已致126人遇难##直击日喀则地震救援一线#人救出来了，牛也救出来了。西藏地震救援现场，藏族老奶奶感激地紧紧拉着救援官兵的手落泪。当然，这些感人的画面，什么穗城流年啦、恐虐尼禄啊、船人老谣啊他们是永远装聋装瞎，绝对不会发一些有关人民子弹兵救助的画面，因为他们有一个共性，就是反共反华的反动派！L大象搬砖的微博视频,,,,"西藏定日县地震已致126人遇难,直击日喀则地震救援一线",4,11,90,2025-01-08 14:18,大象军事超话,,"http://f.video.weibocdn.com/u0/JZXI34eQgx08kZKn74xO01041200dav40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=3UPjD6Qm%2B8&KID=unistore,video",,福建,金V
5120554350152619,P8CIb0DHB,6942354600,是周川呀,#王楚钦捐赠驰援灾区#王楚钦捐赠驰援灾区，一起祈福为西藏地震遇难者默哀。#王楚钦为西藏灾区捐赠#L是周川呀的微博视频,,,,"王楚钦捐赠驰援灾区,王楚钦为西藏灾区捐赠",10,31,1255,2025-01-08 14:45,微博视频号,,"http://f.video.weibocdn.com/u0/EKPr9Yxugx08kZMf6Uli010412000Lnu0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=lNc%2BRjLQfp&KID=unistore,video",,广东,金V
5120556266948919,P8CLgt9Jl,5342220662,应急管理部,#直击西藏地震救援#1月8日，定日县措果乡。@西藏森林消防救援人员起早为受灾群众准备早饭。孩子们吃到热气腾腾的早饭后，露出纯真笑容。一起为日喀则加油！#震后第一个清晨受灾群众吃上热呼早餐#L应急管理部的微博视频,,,西藏森林消防,"直击西藏地震救援,震后第一个清晨受灾群众吃上热呼早餐",16,7,91,2025-01-08 14:53,微博视频号,,"http://f.video.weibocdn.com/o0/FDj4YNQFlx08kZMNbWgU01041200lsRH0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=xqGvJKNqcG&KID=unistore,video",,,蓝V
5120548994286676,P8CzxhZ9W,7452068877,人民网评,#人民网评救人放在第一位#【人民网评：勠力同心，汇聚起抗震救灾的强大力量】1月7日9时5分，西藏日喀则市定日县发生6.8级地震。地震发生后，多种救援力量分秒必争赶赴灾区开展抢险救援，多部门迅速启动应急响应。与时间赛跑，为生命护航。目前，救援和安置正有条不紊推进，在全力开展人员搜救、全力救治受伤人员的同时，妥善安置受灾群众，做好善后等工作。一碗热粥很暖心。地震发生当天，夜幕降临，西藏军区某部官兵在安置点为受灾群众制作了热饭。吃上热气腾腾的晚饭，孩子们对子弟兵说“金珠玛米，亚古都”，汉语意为“解放军好”。据报道，截至目前，救援人员已搜救出被困群众407人，设立187个转移安置点，共搭建帐篷3705顶，转移安置46525人。有一种力量叫众志成城，有一种责任叫冲锋在前。从解放军和武警部队多支力量抵达地震灾区展开救援，到中央各部门紧急启动应急物资政社协同保障机制，从紧急下达1亿元中央预算内投资、紧急预拨1亿元中央自然灾害救灾资金，到专家组驰援地震灾区，上下一心，勠力同心，汇聚起抗震救灾的强大力量，正是对“人民至上、生命至上”的生动诠释。党员干部是老百姓的主心骨、贴心人，在关键时刻要显现担当。广大党员干部要全力做好应急抢险救援工作，妥善安置受灾群众，确保转移安置群众有棉衣穿、有热饭吃、有干净水喝、有安全温暖的临时住所。各方专业力量正努力克服高原高寒等不利影响，全力搜救被困人员。目前，区、市、县三级共派出医疗救助队伍26支581人、救护车107辆开展转运救治工作，受伤人员已全部收治。紧急调运棉帐篷、棉大衣（防寒服）、取暖器等必需物资共计42.8万余件（个），全力保障受灾群众基本生活。地震灾区位于高原高寒地区，抓紧抢修损毁基础设施，才能更有效抢险救援，更好保障灾区群众基本生活。闻令而动，尽锐出击。地震发生后，各有关部门组织抢修受损的电力、通信、交通、供暖等基础设施，帮助安排好群众基本生活，确保安全温暖过冬。比如，工业和信息化部组织信息通信行业紧急抢修损毁通信基础设施，派出工作组赶赴受灾地区协调应急通信保障工作。据统计，截至7日18时8分，经过9个小时的努力，定日县措果乡、长所乡、曲洛乡移动通信信号已全部抢通。截至7日19时，中国移动西藏公司累计调度保障人员57人、应急通信及抢修保障车16辆、油机12台、卫星电话12部、1套便携式卫星基站、光缆149千米，抢通退服基站113个。道路通畅，通讯正常，电力恢复，就是为救援助力，为生命护航，为受灾群众安全温暖过冬筑牢基础。生命重于泰山，救援分秒必争。目前，抗震救灾各项工作仍在紧张有序进行。灾区干部群众团结一心，各方救援力量全力投入，为的是抢救更多生命，帮助受灾群众共渡难关。同心协力，心手相牵，我们定能战胜困难，切实保障人民群众生命财产安全。#要尽最大努力保障人民群众生命财产安全##西藏地震407名被困人员获救#,,,,"人民网评救人放在第一位,要尽最大努力保障人民群众生命财产安全,西藏地震407名被困人员获救",8,3,83,2025-01-08 14:24,微博网页版,"https://wx3.sinaimg.cn/large/0088k7xjly1hxdbyk1c3mj30sd0j9wt3.jpg,https://wx3.sinaimg.cn/large/0088k7xjly1hxdbym9h0tj30m80gotkf.jpg,https://wx2.sinaimg.cn/large/0088k7xjly1hxdbyphiwtj30iw0s9dr2.jpg",,,,普通用户
5120543299470347,P8CqlDJFx,2661992301,买家张俊,#西藏地震407名被困人员获救#一方有难，八方支援！西藏地震截至目前，共14668人参与抗震救灾工作，共搜救出被困人员407人，设立187个转移安置点，共搭建帐篷3705顶，转移安置46525人。6.8级大地震属于天灾了，天灾无情人有情，看到解放军、消防员、专业救援队等都到了定日县，全国各地的企业、个人纷纷捐款捐物，给灾区人民带来了极大的安全感和信心，大家都要平平安安的，一切都会好起来的！#地图全景还原西藏定日县6.8级地震##西藏地震#L买家张俊的微博视频,,,,"西藏地震407名被困人员获救,地图全景还原西藏定日县6.8级地震,西藏地震",117,104,117,2025-01-08 14:02,iPhone 15 Pro Max,,"http://f.video.weibocdn.com/o0/1rJ0Z50Wlx08kZJf8vVu0104120091rw0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=ey9vd2B13o&KID=unistore,video",,湖北,金V
5120554631430387,P8CID606L,7462193109,WS偏执狂,#西藏军区在地震救援第一线#军人是地震救援的中流砥柱，他们不畏艰险，冲锋陷阵，为灾区人民带去了生命的希望和救援的力量。#西藏地震407名被困人员获救#LWS偏执狂的微博视频,,,,"西藏军区在地震救援第一线,西藏地震407名被困人员获救",9,5,45,2025-01-08 14:47,星辰大海,,"http://f.video.weibocdn.com/u0/0mXDx6wFgx08kZMltuLS01041200fajC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=cicsm38SBY&KID=unistore,video",,重庆,金V
